title,file_name,file_type,policy_category,issuing_department,applicable_scope,publish_date,source_url,source_type,parse_priority,local_path
"西安电子科技大学本科生学校奖学金管理评定办法（修订）","xidian_scholarship_rule_2023.html","html_snapshot","奖学金","党委学生工作部/学生工作处","本科生","2023-08-24","https://xgc.xidian.edu.cn/info/1049/11167.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_scholarship_rule_2023.html"
"关于2024级大类专业分流有关工作安排的通知","xidian_major_stream_notice_2025.html","html_snapshot","转专业","本科生院","2024级大类招生本科生","2025-06-04 15:55:27","https://bksy.xidian.edu.cn/info/1003/27492.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_major_stream_notice_2025.html"
"大类分流操作指南（学生）","xidian_major_stream_student_guide_2025.docx","docx","转专业","本科生院","学生端办理附件","关联主通知","https://bksy.xidian.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1482657449&wbfileid=4BC515744E2708D4854A97244EF1713A","attachment","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\attachments\xidian_major_stream_student_guide_2025.docx"
"西安电子科技大学本科生毕业设计（论文）工作条例（修订）","xidian_undergraduate_thesis_regulation_revised.pdf","pdf","毕业要求","西安电子科技大学","本科生","2017-01-04","https://sme.xidian.edu.cn/uploads/soft/170104/5-1F104114648.pdf","attachment","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\attachments\xidian_undergraduate_thesis_regulation_revised.pdf"
"西安电子科技大学普通本科生学籍信息变更申请表及材料要求","xidian_undergraduate_status_change_form.doc","doc","学籍管理","本科生院/教务处页面附件","普通本科生","待补充","https://jwc.xidian.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1070628979&wbfileid=7D5732A3F5D8CE86E8F065F8BEE85C9A","attachment","medium","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\attachments\xidian_undergraduate_status_change_form.doc"
"西安电子科技大学本科生资助政策","xidian_undergraduate_funding_policy_2025.html","html_snapshot","助学金","西安电子科技大学迎新网/学生资助体系","本科生","待补充","https://xdyx.xidian.edu.cn/info/1035/2134.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_undergraduate_funding_policy_2025.html"
"关于印发《西安电子科技大学推荐优秀应届本科毕业生免试攻读硕士学位研究生工作实施办法（修订）》的通知","xidian_postgraduate_recommendation_rule_2021.html","html_snapshot","保研","教务处","优秀应届本科毕业生","2021-09-16","https://jwc.xidian.edu.cn/info/1024/10930.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_postgraduate_recommendation_rule_2021.html"
"西安电子科技大学推荐优秀应届本科毕业生免试攻读硕士学位研究生工作实施办法（修订）","xidian_postgraduate_recommendation_policy_2021.pdf","pdf","保研","教务处","优秀应届本科毕业生","2021-09-16","https://jwc.xidian.edu.cn/system/_content/download.jsp?owner=1070628979&urltype=news.DownloadAttachUrl&wbfileid=EE575E8BFC0BBF0787F223B82EA06F71","attachment","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\attachments\xidian_postgraduate_recommendation_policy_2021.pdf"
"西安电子科技大学学籍管理规定（2019版）","xidian_undergraduate_status_rule_2019.html","html_snapshot","学籍管理","教务处","普通全日制本科生","2019-09-06","https://jwc.xidian.edu.cn/info/1024/7722.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_undergraduate_status_rule_2019.html"
"西安电子科技大学学籍管理规定（2019版）：请假、休学、保留学籍与复学","xidian_undergraduate_leave_rule_2019.html","html_snapshot","请假","教务处","普通全日制本科生","2019-09-06","https://jwc.xidian.edu.cn/info/1024/7722.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_undergraduate_leave_rule_2019.html"
"西安电子科技大学学籍管理规定（2019版）：结业、肄业、毕业与学位授予","xidian_undergraduate_graduation_rule_2019.html","html_snapshot","毕业要求","教务处","普通全日制本科生","2019-09-06","https://jwc.xidian.edu.cn/info/1024/7722.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_undergraduate_graduation_rule_2019.html"
"关于下发《西安电子科技大学本科生违纪处分办法（2020年修订）》的通知","xidian_undergraduate_discipline_2020.html","html_snapshot","处分","党委学生工作部/学生工作处","普通全日制本科生、第二学士学位学生、来华留学本科生","2020-12-22","https://xgc.xidian.edu.cn/info/1049/8850.htm","web","high","D:\woskspace\AgentHelper\M0_交付物\政策原始资料\html\xidian_undergraduate_discipline_2020.html"
